JobID,HDRUserLicenseCode,HDRJobNameTitleAndIssue,HDRLicensedUsersJobNumber,SegmentID,MPUName,MPUClass,MPUProcessingCategory,NumberOfCopies,GrossWeight,NetWeight,EntryPoint,EntryPointFacilityType,IMBarcode,UniqueContainerID,DisplayContainerID,ContainerShipDate,ContainerShipTime,ScheduledInductionDate,ScheduledInductionTime,PostageStatementMailingDate,PostageStatementMailingTime,ScheduledInHomeDate,AdditionalInHomeRange,ContainerType,ContainerLevel,CSMHandlingUnitCount,EPDeliveryLocaleKey,ContainerNo,IsSibling,SiblingParent,FinalDeliveryLocaleKey,EPDeliveryZip4,Zip4ForDestinationZip,eInductionIndicator,AcceptMisshipped
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,21983,714.3325,604.5325,380,S,99M200274000000091626,TRIWP0009FYJ,16,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,51,LOCX25496,2268,,0,LOCX25496,381017501,381017501,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,26409,857.6475,726.2475,294,S,99M200274000000091618,TRIWP0009FYB,8,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,65,LOCX29536,2260,,0,LOCX29536,294189996,294189996,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,31491,1016.6025,866.0025,350,S,99M200274000000091622,TRIWP0009FYF,12,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,76,LOCY10113,2264,,0,LOCY10113,352039811,352039811,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,21248,695.32,584.32,350,S,99M200274000000091623,TRIWP0009FYG,13,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,53,LOCY10113,2265,,0,LOCY10113,352039811,352039811,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,12138,407.595,333.795,365,S,99M200274000000091625,TRIWP0009FYI,15,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,33,LOCY10806,2267,,0,LOCY10806,366759998,366759998,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,24479,796.7725,673.1725,360,S,99M200274000000091624,TRIWP0009FYH,14,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,60,LOCY10814,2266,,0,LOCY10814,361199998,361199998,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,12336,409.44,339.24,395,S,99M200274000000091630,TRIWP0009FYN,20,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,30,LOCY13699,2272,,0,LOCY13699,395039997,395039997,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,11851,394.3025,325.9025,394,S,99M200274000000091629,TRIWP0009FYM,19,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,28,LOCY13720,2271,,0,LOCY13720,394029997,394029997,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,27460,894.35,755.15,390,S,99M200274000000091627,TRIWP0009FYK,17,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,69,LOCY13800,2269,,0,LOCY13800,392019997,392019997,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,23068,749.57,634.37,390,S,99M200274000000091628,TRIWP0009FYL,18,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,55,LOCY13800,2270,,0,LOCY13800,392019997,392019997,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,16779,554.4225,461.4225,870,S,99M200274000000091645,TRIWP0009FZ2,35,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,43,LOCZ13503,2287,,0,LOCZ13503,871010002,871010002,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,22005,723.3375,605.1375,840,S,99M200274000000091642,TRIWP0009FYZ,32,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,58,LOCZ16257,2284,,0,LOCZ16257,841999997,841999997,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,16397,542.7175,450.9175,840,S,99M200274000000091643,TRIWP0009FZ0,33,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,43,LOCZ16257,2285,,0,LOCZ16257,841999997,841999997,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,6912,241.08,190.08,845,S,99M200274000000091644,TRIWP0009FZ1,34,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,18,LOCZ17855,2286,,0,LOCZ17855,846069998,846069998,Y,
21965,TRIW,Dollar Financial,169837,1,A169837,3,LT,14711,491.5525,404.5525,932,S,99M200274000000091656,TRIWP0009FZD,46,8/7/18,,8/7/18,,8/7/18,23:59:00,,0,P,X,40,LOCZ20171,2298,,0,LOCZ20171,933809000,933809000,Y,
