75244,29607,402.53,77.5,P,8/7/18,,,,FXFE
75244,19720,308.9875,77.5,P,8/7/18,,,,FXFE
75244,60130,383.42,77.5,P,8/7/18,,,,FXFE
75244,63042,801.5575,77.5,P,8/7/18,,,,FXFE
75244,65801,314.955,77.5,P,8/7/18,,,,FXFE
75244,64121,427.67,77.5,P,8/7/18,,,,FXFE
75244,29292,542.1575,77.5,P,8/7/18,,,,FXFE
75244,38101,302.15,77.5,P,8/7/18,,,,FXFE
75244,29418,329.26,77.5,P,8/7/18,,,,FXFE
75244,35203,450.7,77.5,P,8/7/18,,,,FXFE
75244,36119,214.1725,77.5,P,8/7/18,,,,FXFE
75244,39201,708.83,77.5,P,8/7/18,,,,FXFE
75244,84199,516.195,77.5,P,8/7/18,,,,FXFE
75244,93380,223.6225,77.5,P,8/7/18,,,,FXFE
75244,94615,214.035,77.5,P,8/7/18,,,,FXFE
75244,95799,392.145,77.5,P,8/7/18,,,,FXFE
75244,92403,463.47,77.5,P,8/7/18,,,,FXFE
75244,92199,280.9625,77.5,P,8/7/18,,,,FXFE
75244,92799,280.9275,77.5,P,8/7/18,,,,FXFE
75244,91383,233.505,77.5,P,8/7/18,,,,FXFE
75244,94850,417.1525,77.5,P,8/7/18,,,,FXFE
75244,90052,488.4975,77.5,P,8/7/18,,,,FXFE
